category	sample	sum_abund	groups
Rifamycin	bgi-DLM001	2.12744787516e-09	Ab (determinants)
Lipopeptide	bgi-DLM001	8.38455815151e-09	Ab (determinants)
Fluoroquinolone	bgi-DLM001	1.53212829321e-08	Ab (determinants)
Oxazolidinone	bgi-DLM001	0	Ab (determinants)
Acridine dye	bgi-DLM001	0	Ab (determinants)
Macrolide	bgi-DLM001	1.07238536307e-07	Ab (determinants)
Phenicol	bgi-DLM001	4.76837372366e-09	Ab (determinants)
Elfamycin	bgi-DLM001	0	Ab (determinants)
Beta-lactam	bgi-DLM001	5.23529989042e-08	Ab (determinants)
Peptide	bgi-DLM001	1.53344361153e-09	Ab (determinants)
Coumarin	bgi-DLM001	3.42070581405e-10	Ab (mutations)
Rifampin	bgi-DLM001	6.50894281149e-09	Ab (mutations)
Sulfonamides	bgi-DLM001	1.83935557161e-08	Ab (mutations)
Fluoroquinolones	bgi-DLM001	5.2513676596e-08	Ab (mutations)
Aminoglycoside	bgi-N006A	8.51833044419e-09	Ab (determinants)
Tetracycline derivative	bgi-N006A	2.80855922964e-07	Ab (determinants)
Nucleoside	bgi-N006A	4.61541490387e-10	Ab (determinants)
Pleuromutilin	bgi-N006A	0	Ab (determinants)
Diaminopyrimidine	bgi-N006A	6.09163468928e-09	Ab (determinants)
Glycopeptide	bgi-N006A	5.78474183968e-10	Ab (determinants)
Lincosamide	bgi-N006A	1.00790026946e-07	Ab (determinants)
Streptogramin	bgi-N006A	6.05646841419e-08	Ab (determinants)
Sulfonamide	bgi-N006A	7.68294280203e-11	Ab (determinants)
Aminonucleoside	bgi-N006A	0	Ab (determinants)
Aminocoumarin	bgi-N006A	1.91819452779e-10	Ab (determinants)
Mixture	bgi-N006A	6.2166081851e-09	Ab (determinants)
Miscellaneous	bgi-N006A	0	Ab (determinants)
Rifamycin	bgi-N006A	2.23066120903e-10	Ab (determinants)
Lipopeptide	bgi-N006A	1.77819205478e-10	Ab (determinants)
Fluoroquinolone	bgi-N006A	6.91940617428e-10	Ab (determinants)
Oxazolidinone	bgi-N006A	0	Ab (determinants)
Acridine dye	bgi-N006A	0	Ab (determinants)
Macrolide	bgi-N006A	6.11000473785e-08	Ab (determinants)
Phenicol	bgi-N006A	1.5391115652e-09	Ab (determinants)
Elfamycin	bgi-N006A	0	Ab (determinants)
Beta-lactam	bgi-N006A	4.4308522509e-08	Ab (determinants)
Peptide	bgi-N006A	7.62693106836e-11	Ab (determinants)
Coumarin	bgi-N006A	2.52567079643e-09	Ab (mutations)
Rifampin	bgi-N006A	9.22541853112e-09	Ab (mutations)
Sulfonamides	bgi-N006A	1.786128549e-09	Ab (mutations)
Fluoroquinolones	bgi-N006A	6.91342541818e-08	Ab (mutations)
Metals	bgi-T2D-139A	3.07167936741e-06	Metals
Biocides	bgi-T2D-139A	1.05429985758e-06	Biocides
Aminoglycoside	bgi-DLM003	4.22962238102e-08	Ab (determinants)
Tetracycline derivative	bgi-DLM003	2.64021931882e-07	Ab (determinants)
Nucleoside	bgi-DLM003	2.98298813227e-10	Ab (determinants)
Pleuromutilin	bgi-DLM003	0	Ab (determinants)
Diaminopyrimidine	bgi-DLM003	5.21221042174e-09	Ab (determinants)
Glycopeptide	bgi-DLM003	1.10998837101e-10	Ab (determinants)
Lincosamide	bgi-DLM003	2.7238414166e-07	Ab (determinants)
Streptogramin	bgi-DLM003	2.43368844909e-07	Ab (determinants)
Sulfonamide	bgi-DLM003	2.10281138041e-08	Ab (determinants)
Aminonucleoside	bgi-DLM003	0	Ab (determinants)
Aminocoumarin	bgi-DLM003	3.69341046157e-10	Ab (determinants)
Mixture	bgi-DLM003	2.89526745768e-08	Ab (determinants)
Miscellaneous	bgi-DLM003	7.72735973313e-11	Ab (determinants)
Rifamycin	bgi-DLM003	1.77453169931e-10	Ab (determinants)
Lipopeptide	bgi-DLM003	3.17662891488e-10	Ab (determinants)
Fluoroquinolone	bgi-DLM003	7.03396964782e-10	Ab (determinants)
Oxazolidinone	bgi-DLM003	0	Ab (determinants)
Acridine dye	bgi-DLM003	1.06165884459e-11	Ab (determinants)
Macrolide	bgi-DLM003	2.48281144437e-07	Ab (determinants)
Phenicol	bgi-DLM003	6.61203355992e-09	Ab (determinants)
Elfamycin	bgi-DLM003	0	Ab (determinants)
Beta-lactam	bgi-DLM003	1.22705839222e-07	Ab (determinants)
Peptide	bgi-DLM003	7.88697712737e-11	Ab (determinants)
Coumarin	bgi-DLM003	6.59675206835e-10	Ab (mutations)
Rifampin	bgi-DLM003	4.77006190393e-09	Ab (mutations)
Sulfonamides	bgi-DLM003	1.84224919418e-09	Ab (mutations)
Fluoroquinolones	bgi-DLM003	3.64606524747e-08	Ab (mutations)
Metals	bgi-NOM001	3.31582991894e-06	Metals
Biocides	bgi-NOM001	8.87510532976e-07	Biocides
Metals	bgi-SZEY-78A	5.42702465003e-06	Metals
Biocides	bgi-SZEY-78A	2.08384913726e-06	Biocides
Metals	bgi-SZEY-06A	3.99494743109e-06	Metals
Biocides	bgi-SZEY-06A	1.23269427019e-06	Biocides
Metals	bgi-T2D-103A	3.86682285256e-06	Metals
Biocides	bgi-T2D-103A	1.59098989467e-06	Biocides
Metals	bgi-T2D-107A	4.30894262856e-06	Metals
Biocides	bgi-T2D-107A	1.42809756263e-06	Biocides
Aminoglycoside	bgi-SZEY-26A	8.28097604511e-08	Ab (determinants)
Tetracycline derivative	bgi-SZEY-26A	3.00855546346e-07	Ab (determinants)
Nucleoside	bgi-SZEY-26A	6.30149651367e-10	Ab (determinants)
Pleuromutilin	bgi-SZEY-26A	0	Ab (determinants)
Diaminopyrimidine	bgi-SZEY-26A	2.3525157685e-08	Ab (determinants)
Glycopeptide	bgi-SZEY-26A	1.66677147531e-08	Ab (determinants)
Lincosamide	bgi-SZEY-26A	1.68321576112e-07	Ab (determinants)
Streptogramin	bgi-SZEY-26A	1.66503763985e-07	Ab (determinants)
Sulfonamide	bgi-SZEY-26A	6.12220277166e-08	Ab (determinants)
Aminonucleoside	bgi-SZEY-26A	0	Ab (determinants)
Aminocoumarin	bgi-SZEY-26A	5.90353201358e-08	Ab (determinants)
Mixture	bgi-SZEY-26A	1.21621621288e-07	Ab (determinants)
Miscellaneous	bgi-SZEY-26A	1.72987217777e-10	Ab (determinants)
Rifamycin	bgi-SZEY-26A	3.82167879766e-08	Ab (determinants)
Lipopeptide	bgi-SZEY-26A	9.84661751941e-08	Ab (determinants)
Fluoroquinolone	bgi-SZEY-26A	1.47853312319e-07	Ab (determinants)
Oxazolidinone	bgi-SZEY-26A	0	Ab (determinants)
Acridine dye	bgi-SZEY-26A	0	Ab (determinants)
Macrolide	bgi-SZEY-26A	2.27042110619e-07	Ab (determinants)
Phenicol	bgi-SZEY-26A	5.50748093682e-08	Ab (determinants)
Elfamycin	bgi-SZEY-26A	0	Ab (determinants)
Beta-lactam	bgi-SZEY-26A	1.94543838673e-07	Ab (determinants)
Peptide	bgi-SZEY-26A	1.88627056204e-08	Ab (determinants)
Coumarin	bgi-SZEY-26A	3.74859937693e-09	Ab (mutations)
Rifampin	bgi-SZEY-26A	4.76284643342e-09	Ab (mutations)
Sulfonamides	bgi-SZEY-26A	3.92926169353e-09	Ab (mutations)
Fluoroquinolones	bgi-SZEY-26A	4.8867970519e-08	Ab (mutations)
Metals	bgi-T2D-203A	3.92291245859e-06	Metals
Biocides	bgi-T2D-203A	1.49501624624e-06	Biocides
Aminoglycoside	bgi-DOM026	2.10811957681e-08	Ab (determinants)
Tetracycline derivative	bgi-DOM026	2.32998179301e-07	Ab (determinants)
Nucleoside	bgi-DOM026	1.54819708445e-10	Ab (determinants)
Pleuromutilin	bgi-DOM026	0	Ab (determinants)
Diaminopyrimidine	bgi-DOM026	1.29615725801e-08	Ab (determinants)
Glycopeptide	bgi-DOM026	1.08950097452e-10	Ab (determinants)
Lincosamide	bgi-DOM026	2.38127582692e-07	Ab (determinants)
Streptogramin	bgi-DOM026	2.27562508304e-07	Ab (determinants)
Sulfonamide	bgi-DOM026	7.91372155493e-10	Ab (determinants)
Aminonucleoside	bgi-DOM026	0	Ab (determinants)
Aminocoumarin	bgi-DOM026	7.26804160851e-11	Ab (determinants)
Mixture	bgi-DOM026	1.80910084991e-08	Ab (determinants)
Miscellaneous	bgi-DOM026	9.2106213248e-12	Ab (determinants)
Rifamycin	bgi-DOM026	0	Ab (determinants)
Lipopeptide	bgi-DOM026	1.95841173547e-10	Ab (determinants)
Fluoroquinolone	bgi-DOM026	4.43831766151e-10	Ab (determinants)
Oxazolidinone	bgi-DOM026	0	Ab (determinants)
Acridine dye	bgi-DOM026	0	Ab (determinants)
Macrolide	bgi-DOM026	2.2815231878e-07	Ab (determinants)
Phenicol	bgi-DOM026	1.81145326885e-10	Ab (determinants)
Elfamycin	bgi-DOM026	0	Ab (determinants)
Beta-lactam	bgi-DOM026	5.58808505181e-08	Ab (determinants)
Peptide	bgi-DOM026	0	Ab (determinants)
Coumarin	bgi-DOM026	6.88188173009e-09	Ab (mutations)
Rifampin	bgi-DOM026	5.40015700168e-09	Ab (mutations)
Sulfonamides	bgi-DOM026	4.45976962932e-10	Ab (mutations)
Fluoroquinolones	bgi-DOM026	4.77266310429e-08	Ab (mutations)
Metals	bgi-T2D-11A	4.30889540028e-06	Metals
Biocides	bgi-T2D-11A	1.2977923269e-06	Biocides
Metals	bgi-NLF011	8.05795249551e-07	Metals
Biocides	bgi-NLF011	2.37204424713e-07	Biocides
Metals	bgi-T2D-133A	3.8583557645e-06	Metals
Biocides	bgi-T2D-133A	1.3529288463e-06	Biocides
Metals	bgi-N033A	2.35001649436e-06	Metals
Biocides	bgi-N033A	5.62722563195e-07	Biocides
Aminoglycoside	bgi-DLM016	1.18755721026e-08	Ab (determinants)
Tetracycline derivative	bgi-DLM016	2.33728001139e-07	Ab (determinants)
Nucleoside	bgi-DLM016	3.30393931592e-10	Ab (determinants)
Pleuromutilin	bgi-DLM016	0	Ab (determinants)
Diaminopyrimidine	bgi-DLM016	4.29429872334e-09	Ab (determinants)
Glycopeptide	bgi-DLM016	2.85021089099e-11	Ab (determinants)
Lincosamide	bgi-DLM016	8.02360059602e-08	Ab (determinants)
Streptogramin	bgi-DLM016	8.28364860241e-08	Ab (determinants)
Sulfonamide	bgi-DLM016	2.1021012688e-09	Ab (determinants)
Aminonucleoside	bgi-DLM016	0	Ab (determinants)
Aminocoumarin	bgi-DLM016	9.01542322565e-10	Ab (determinants)
Mixture	bgi-DLM016	4.31045092484e-09	Ab (determinants)
Miscellaneous	bgi-DLM016	1.14117015102e-09	Ab (determinants)
Rifamycin	bgi-DLM016	1.55873510478e-09	Ab (determinants)
Lipopeptide	bgi-DLM016	7.80477667621e-10	Ab (determinants)
Fluoroquinolone	bgi-DLM016	3.24896798779e-09	Ab (determinants)
Oxazolidinone	bgi-DLM016	0	Ab (determinants)
