category	sample	sum_abund
Tetracycline derivative	HMP-700024866	3.60e-07
Streptogramin	HMP-700024866	1.33e-07
Macrolide	HMP-700024866	1.36e-07
Sulfonamide	HMP-700024866	8.28e-11
Aminocoumarin	HMP-700024866	2.18e-11
Diaminopyrimidine	HMP-700024866	1.92e-09
Nucleoside	HMP-700024866	1.57e-08
Beta-lactam	HMP-700024866	8.71e-08
Phenicol	HMP-700024866	4.83e-10
Lincosamide	HMP-700024866	1.38e-07
Glycopeptide	HMP-700024866	2.81e-10
Coumarin	HMP-700024866	2.21e-08
Rifampin	HMP-700024866	1.38e-07
Sulfonamides	HMP-700024866	3.11e-08
Fluoroquinolones	HMP-700024866	2.60e-07
Metals	HMP-700024866	3.75e-06
Biocides	HMP-700024866	1.29e-06
Fluoroquinolone	HMP-700024998	6.84e-11
Aminoglycoside	HMP-700024998	4.61e-09
Lipopeptide	HMP-700024998	4.27e-11
Tetracycline derivative	HMP-700024998	1.33e-07
Streptogramin	HMP-700024998	5.31e-08
Macrolide	HMP-700024998	6.39e-08
Sulfonamide	HMP-700024998	5.68e-10
Aminocoumarin	HMP-700024998	3.33e-11
Rifamycin	HMP-700024998	2.54e-12
Diaminopyrimidine	HMP-700024998	2.97e-09
Nucleoside	HMP-700024998	4.41e-11
Beta-lactam	HMP-700024998	5.30e-08
Phenicol	HMP-700024998	4.48e-09
Lincosamide	HMP-700024998	5.31e-08
Coumarin	HMP-700024998	1.68e-08
Rifampin	HMP-700024998	8.46e-08
Sulfonamides	HMP-700024998	1.21e-08
Fluoroquinolones	HMP-700024998	1.32e-07
Metals	HMP-700024998	3.50e-06
Biocides	HMP-700024998	1.75e-06
Fluoroquinolone	HMP-700032338	1.75e-06
Aminoglycoside	HMP-700032338	1.92e-07
Lipopeptide	HMP-700032338	1.24e-06
Peptide	HMP-700032338	1.96e-07
Tetracycline derivative	HMP-700032338	7.05e-07
Streptogramin	HMP-700032338	3.48e-11
Macrolide	HMP-700032338	7.30e-07
Sulfonamide	HMP-700032338	3.44e-10
Aminocoumarin	HMP-700032338	6.86e-07
Rifamycin	HMP-700032338	2.75e-07
Diaminopyrimidine	HMP-700032338	3.52e-10
Nucleoside	HMP-700032338	3.15e-11
Beta-lactam	HMP-700032338	1.26e-06
Phenicol	HMP-700032338	2.75e-07
Lincosamide	HMP-700032338	3.48e-11
Coumarin	HMP-700032338	1.46e-07
Rifampin	HMP-700032338	2.15e-07
Sulfonamides	HMP-700032338	2.25e-08
Fluoroquinolones	HMP-700032338	2.37e-07
Metals	HMP-700032338	5.46e-05
Biocides	HMP-700032338	3.89e-05
Fluoroquinolone	HMP-700032944	4.78e-11
Aminoglycoside	HMP-700032944	1.40e-10
Lipopeptide	HMP-700032944	4.95e-11
Tetracycline derivative	HMP-700032944	2.10e-07
Streptogramin	HMP-700032944	2.75e-08
Macrolide	HMP-700032944	2.76e-08
Sulfonamide	HMP-700032944	6.29e-12
Aminocoumarin	HMP-700032944	2.71e-11
Rifamycin	HMP-700032944	9.08e-12
Diaminopyrimidine	HMP-700032944	2.20e-09
Nucleoside	HMP-700032944	5.06e-11
Beta-lactam	HMP-700032944	9.81e-09
Phenicol	HMP-700032944	3.03e-11
Lincosamide	HMP-700032944	2.75e-08
Coumarin	HMP-700032944	1.57e-07
Rifampin	HMP-700032944	2.28e-07
Sulfonamides	HMP-700032944	7.40e-08
Fluoroquinolones	HMP-700032944	5.75e-07
Metals	HMP-700032944	3.93e-06
Biocides	HMP-700032944	1.63e-06
Fluoroquinolone	HMP-700033153	1.02e-10
Aminoglycoside	HMP-700033153	5.08e-09
